"","Viv1","Viv2","Viv3","Hfd1","Hfd2","Hfd3"
"ENSMUSG00000090025",0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0
"ENSMUSG00000051951",0,1,1,3,0,0
"ENSMUSG00000089699",0,0,0,0,0,0
"ENSMUSG00000088390",0,0,0,0,0,0
"ENSMUSG00000089420",0,0,0,0,0,0
"ENSMUSG00000025900",0,0,0,0,0,0
"ENSMUSG00000025902",25,20,22,23,21,22
"ENSMUSG00000064376",1,0,3,0,1,1
"ENSMUSG00000088000",0,0,0,0,0,0
"ENSMUSG00000033845",1427,954,1127,814,885,914
"ENSMUSG00000025903",5342,3428,4200,3868,3372,4444
"ENSMUSG00000033813",683,458,557,449,484,552
"ENSMUSG00000062588",72,55,48,69,47,77
"ENSMUSG00000002459",0,0,0,0,0,0
"ENSMUSG00000091305",0,0,0,0,1,0
"ENSMUSG00000085623",0,0,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0
"ENSMUSG00000033793",1849,1061,1224,1210,1335,1263
"ENSMUSG00000025905",0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0
"ENSMUSG00000033774",0,0,0,0,0,0
"ENSMUSG00000025907",1048,737,999,765,747,957
"ENSMUSG00000090031",1,2,0,1,0,3
"ENSMUSG00000073741",0,0,0,0,0,0
"ENSMUSG00000087247",0,0,0,0,0,0
"ENSMUSG00000033740",0,0,0,0,0,0
"ENSMUSG00000051285",3084,1835,2582,2266,1842,2649
"ENSMUSG00000048538",10980,7637,10156,3975,4849,5440
"ENSMUSG00000077244",0,0,0,0,0,0
"ENSMUSG00000086461",0,0,1,0,1,0
"ENSMUSG00000025909",5,6,3,14,3,12
"ENSMUSG00000086235",22,13,6,6,9,7
"ENSMUSG00000076169",0,0,0,0,0,0
"ENSMUSG00000084353",85,49,64,54,61,52
"ENSMUSG00000076135",353,291,285,263,238,286
"ENSMUSG00000086195",2,2,2,1,6,6
"ENSMUSG00000066693",33,19,24,16,22,10
"ENSMUSG00000065625",0,0,0,0,0,0
"ENSMUSG00000061024",311,187,304,184,260,226
"ENSMUSG00000025911",3318,1860,2916,2049,1898,2035
"ENSMUSG00000079671",11,6,14,11,6,12
"ENSMUSG00000081441",72,52,41,49,68,64
"ENSMUSG00000067879",1,1,1,8,10,7
"ENSMUSG00000025912",14,9,7,41,33,32
"ENSMUSG00000045210",1075,644,1015,800,666,923
"ENSMUSG00000085661",19,9,19,9,17,11
"ENSMUSG00000025915",284,190,279,365,256,285
"ENSMUSG00000046334",38,24,11,22,31,28
"ENSMUSG00000088916",0,0,0,0,0,0
"ENSMUSG00000046101",19,9,6,5,13,7
"ENSMUSG00000093178",1,0,0,1,0,0
"ENSMUSG00000073738",11,6,1,8,7,9
"ENSMUSG00000025916",4,2,0,4,2,1
"ENSMUSG00000087199",0,0,0,0,0,0
"ENSMUSG00000065085",0,0,0,0,0,0
"ENSMUSG00000025917",1674,1217,1360,1231,1339,1356
"ENSMUSG00000056763",349,218,342,196,226,225
"ENSMUSG00000067851",2959,1634,2691,2308,1881,2827
"ENSMUSG00000088153",0,0,0,0,0,0
"ENSMUSG00000042501",0,0,0,0,0,0
"ENSMUSG00000083422",140,104,118,86,123,88
"ENSMUSG00000065035",0,0,0,0,0,0
"ENSMUSG00000081417",3,1,3,1,0,1
"ENSMUSG00000088585",0,0,0,0,0,0
"ENSMUSG00000048960",294,171,252,286,186,304
"ENSMUSG00000077318",0,0,0,0,0,0
"ENSMUSG00000057715",0,0,0,0,0,0
"ENSMUSG00000064969",0,0,0,0,0,0
"ENSMUSG00000066918",0,0,0,0,0,0
"ENSMUSG00000016918",9,15,11,21,39,19
"ENSMUSG00000025938",0,0,0,1,1,0
"ENSMUSG00000042414",0,1,0,1,0,1
"ENSMUSG00000005886",1478,689,1526,999,827,1203
"ENSMUSG00000087782",0,0,0,0,0,1
