"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000024526",465.87904057095,5.87047199856092,0.248711243671257,23.6035649691835,3.54256402178061e-123,6.13820068053927e-119,"Cidea"
"ENSMUSG00000032080",14291.817820761,4.53420602613778,0.227775463347816,19.9064726265708,3.57626105745859e-88,3.09829376712925e-84,"Apoa4"
"ENSMUSG00000026475",3141.25707045318,4.42801727935485,0.253079829010836,17.4965239097157,1.52284140431239e-68,8.79542433750693e-65,"Rgs16"
"ENSMUSG00000069170",343.928323594871,3.64998806259572,0.223969287761154,16.2968239935117,1.0395545499336e-59,4.50309042167489e-56,"Gpr98"
"ENSMUSG00000042041",651.002326876615,2.97328147367073,0.189351434922076,15.7024501815596,1.45511622229743e-55,5.04255975674952e-52,"2010003K11Rik"
"ENSMUSG00000034634",199.350753769816,4.35615693246702,0.280600703215617,15.5243977742981,2.37220673094919e-54,6.85053767119276e-51,"Ly6d"
"ENSMUSG00000037953",112.453080850094,4.66928318618707,0.316968243085093,14.7310757088481,4.07172564286984e-49,1.00786843162865e-45,"A4gnt"
"ENSMUSG00000032231",883.324337619713,2.45179329144001,0.167522857496029,14.6355746797008,1.66562355670328e-48,3.60753242087471e-45,"Anxa2"
"ENSMUSG00000026043",833.867936897615,2.34485065731508,0.163023567491916,14.383507203223,6.56800106431873e-47,1.26448616046056e-43,"Col3a1"
"ENSMUSG00000028051",339.399128135267,3.243583740819,0.228246740400265,14.2108655533519,7.84498352295067e-46,1.35930029502166e-42,"Hcn3"
"ENSMUSG00000038576",842.879994522801,-2.1307912742967,0.150058555431203,-14.1997320191023,9.19634059386332e-46,1.44859084972609e-42,"Susd4"
"ENSMUSG00000030278",454.428775970098,3.33999403174857,0.242850656020963,13.7532839584352,4.86692140928028e-43,7.02742893821661e-40,"Cidec"
"ENSMUSG00000067225",6670.87266664328,-2.79284541425649,0.204586091001334,-13.6511988698112,1.98584391578384e-42,2.64682442529127e-39,"Cyp2c54"
"ENSMUSG00000042248",9297.15167240665,-2.45327811904354,0.187842727646244,-13.0602773383045,5.55251352320361e-39,6.87202870118207e-36,"Cyp2c37"
"ENSMUSG00000028664",72.2600362943376,3.99297787036223,0.306103483741521,13.0445358594284,6.82714895518095e-39,7.54020049271314e-36,"Ephb2"
"ENSMUSG00000017723",355.412021556401,2.57606624046354,0.19750509331975,13.0430370030662,6.96272914430717e-39,7.54020049271314e-36,"Wfdc2"
"ENSMUSG00000022364",407.59485645732,2.12286400026018,0.165756408330086,12.8071307869601,1.49563222013589e-37,1.52440114578204e-34,"Wdr67"
"ENSMUSG00000049723",92.1254767114568,3.52889801104627,0.287388579345267,12.2791866645705,1.17170251325034e-34,1.12789385817159e-31,"Mmp12"
"ENSMUSG00000041293",109.937017101807,-4.12286602953558,0.33635800483736,-12.2573744945631,1.53389569945021e-34,1.39883214654599e-31,"Gpr110"
"ENSMUSG00000041237",6257.96125240403,2.40472788259887,0.199237608790882,12.0696483821127,1.52785722793312e-33,1.32365910941986e-30,"Pklr"
"ENSMUSG00000026638",853.932336194695,-1.59440946635577,0.137857647529382,-11.5656221829547,6.15435616149291e-31,5.07792996238988e-28,"Irf6"
"ENSMUSG00000053168",172.28114201942,2.35671400873997,0.204357421654452,11.5323142641961,9.06730057258391e-31,7.14132350096189e-28,"9030619P08Rik"
"ENSMUSG00000028179",10149.8653904371,-1.55715349310645,0.136253794808787,-11.4283311910079,3.01854159861198e-30,2.27401175126738e-27,"Cth"
"ENSMUSG00000027712",2478.84465601074,1.4430588208784,0.126330214649108,11.4229111767649,3.21288150529679e-30,2.31029934890142e-27,"Anxa5"
"ENSMUSG00000029661",296.522745348694,2.4797912776235,0.217150078120223,11.4197116532953,3.33338048840165e-30,2.31029934890142e-27,"Col1a2"
"ENSMUSG00000030302",111.769821375382,3.23281142023692,0.284109543087146,11.3787498480658,5.3359135925352e-30,3.55597595453298e-27,"Atp2b2"
"ENSMUSG00000017718",691.54649922209,-1.5430891819904,0.135864413931752,-11.3575669841371,6.80124605340555e-30,4.36463668027251e-27,"Afmid"
"ENSMUSG00000073460",101.790613329655,3.01127824164304,0.266793015840873,11.2869455452279,1.52235499102872e-29,9.42065890341237e-27,"Pnldc1"
"ENSMUSG00000021208",324.657083277417,2.41570806101285,0.216191359736675,11.1739343512859,5.47029923310226e-29,3.26840947627458e-26,"Ifi27l2b"
"ENSMUSG00000055730",4310.69530525173,-1.97872441578311,0.17814913246156,-11.1071235006439,1.15830831601646e-28,6.69000273053905e-26,"Ces2a"
"ENSMUSG00000026890",199.895713707567,2.3044565273893,0.208823684965597,11.0354174037727,2.57851426240874e-28,1.44122311692762e-25,"Lhx6"
"ENSMUSG00000054827",13037.0471280994,-1.80208686247216,0.164845748698234,-10.9319583714048,8.10794490793293e-28,4.39019879436731e-25,"Cyp2c50"
"ENSMUSG00000029816",53.7047408252096,3.60263088164055,0.33146274577915,10.8688862549909,1.62168338426665e-27,8.51482060581461e-25,"Gpnmb"
"ENSMUSG00000060317",944.115603028323,1.73045724210064,0.15971734110447,10.8344981836929,2.3625717474016e-27,1.20400825491846e-24,"Acnat2"
"ENSMUSG00000021336",1488.47075847574,1.64121568124073,0.151622465512334,10.8243569031479,2.6392535711794e-27,1.30658133222359e-24,"Slc17a4"
"ENSMUSG00000020604",651.100964844005,1.52532305741756,0.141091862681888,10.8108506644116,3.05820866355532e-27,1.47193281981731e-24,"Arsg"
"ENSMUSG00000022371",1414.69602168656,1.62752983999156,0.151687561611128,10.7294877886162,7.40052401010683e-27,3.46564539251679e-24,"Col14a1"
"ENSMUSG00000025002",280.297446450039,-2.23662883612096,0.20854115466447,-10.7251196518959,7.75865930515551e-27,3.53774446790604e-24,"Cyp2c55"
"ENSMUSG00000041577",856.977399958834,1.36223055692904,0.127311578555099,10.699973815339,1.0180698182655e-26,4.5231014720734e-24,"Prelp"
