"ensembl_gene_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"mgi_symbol"
"4582"	"ENSMUSG00000024526"	465.87904057095	5.8634715885461	0.248223729217335	23.6217206430425	2.30569271981639e-123	3.94135113525414e-119	"Cidea"
"8820"	"ENSMUSG00000032080"	14291.817820761	4.52881696629834	0.227787598397738	19.8817538713877	5.85509303919594e-88	5.00434802060077e-84	"Apoa4"
"5617"	"ENSMUSG00000026475"	3141.25707045318	4.42000911192699	0.253184416649601	17.4576665120908	3.00988352254532e-68	1.71503163114632e-64	"Rgs16"
"20354"	"ENSMUSG00000069170"	343.928323594871	3.64541444169683	0.224051916033954	16.2704006563567	1.60106712973722e-59	6.84216037893202e-56	"Gpr98"
"12526"	"ENSMUSG00000042041"	651.002326876615	2.97136198898231	0.189277516281244	15.6984413540551	1.55003801337941e-55	5.29926996014153e-52	"2010003K11Rik"
"9814"	"ENSMUSG00000034634"	199.350753769816	4.34402595239202	0.28068348579597	15.4765997011656	4.99168288160528e-54	1.42213045296935e-50	"Ly6d"
"10979"	"ENSMUSG00000037953"	112.453080850094	4.65213108515691	0.316455325046639	14.7007514709107	6.3748324162484e-49	1.55673407604786e-45	"A4gnt"
"8894"	"ENSMUSG00000032231"	883.324337619713	2.4509671122709	0.167253995718279	14.6541617839689	1.26710687252532e-48	2.70749060986847e-45	"Anxa2"
"5372"	"ENSMUSG00000026043"	833.867936897615	2.34417825449471	0.162721473630139	14.4060780805302	4.73865446768255e-47	9.00028438561839e-44	"Col3a1"
"11269"	"ENSMUSG00000038576"	842.879994522801	-2.13049938878073	0.149614349588421	-14.2399401838232	5.17713502298744e-46	8.84979460829473e-43	"Susd4"
"6516"	"ENSMUSG00000028051"	339.399128135267	3.23868584040744	0.228539817643922	14.1712103991152	1.3809950467437e-45	2.14606630263971e-42	"Hcn3"
"7808"	"ENSMUSG00000030278"	454.428775970098	3.33355638912133	0.243271068079102	13.7030532049844	9.73433139135898e-43	1.38665550669909e-39	"Cidec"
"19945"	"ENSMUSG00000067225"	6670.87266664328	-2.79064088640685	0.20451395012902	-13.645234883226	2.15517981564618e-42	2.83389567451199e-39	"Cyp2c54"
"12595"	"ENSMUSG00000042248"	9297.15167240665	-2.45193147698967	0.187673740341034	-13.0648617783932	5.22794974362138e-39	6.3833266369617e-36	"Cyp2c37"
"1859"	"ENSMUSG00000017723"	355.412021556401	2.57387383764394	0.197577685253117	13.0271484573096	8.57529286854928e-39	9.77240375299876e-36	"Wfdc2"
"6877"	"ENSMUSG00000028664"	72.2600362943376	3.97931525095087	0.30578308591302	13.0135230961819	1.02504990734143e-38	1.0951376947559e-35	"Ephb2"
"3661"	"ENSMUSG00000022364"	407.59485645732	2.12210785773376	0.165522784135753	12.8206389761624	1.25660659362484e-37	1.26355488890724e-34	"Wdr67"
"14783"	"ENSMUSG00000049723"	92.1254767114568	3.5137322313949	0.287986122802338	12.2010470407513	3.06852614624505e-34	2.85822725347135e-31	"Mmp12"
"12283"	"ENSMUSG00000041293"	109.937017101807	-4.09882606356684	0.336018370850017	-12.1982201544462	3.17692276915617e-34	2.85822725347135e-31	"Gpr110"
"12268"	"ENSMUSG00000041237"	6257.96125240403	2.40302750767711	0.199136378840477	12.0672451797575	1.57312746664321e-33	1.34455204573995e-30	"Pklr"
"5713"	"ENSMUSG00000026638"	853.932336194695	-1.59438418168801	0.137255689363782	-11.6161609699272	3.41123005222762e-31	2.77674126251328e-28	"Irf6"
"15684"	"ENSMUSG00000053168"	172.28114201942	2.35404609358252	0.204584106632325	11.5064954572115	1.22349993872258e-30	9.50659452387447e-28	"9030619P08Rik"
"6324"	"ENSMUSG00000027712"	2478.84465601074	1.44322020897738	0.125526577005798	11.4973278440527	1.36062759966656e-30	1.01124209516087e-27	"Anxa5"
"6590"	"ENSMUSG00000028179"	10149.8653904371	-1.55719127394414	0.135597792767151	-11.4838983892471	1.58948552997157e-30	1.13211106872225e-27	"Cth"
"1856"	"ENSMUSG00000017718"	691.54649922209	-1.54310286146579	0.13522360569021	-11.4114902763423	3.66397434896569e-30	2.50527910084878e-27	"Afmid"
"7502"	"ENSMUSG00000029661"	296.522745348694	2.47669824957078	0.217375295306373	11.3936509946085	4.49741786100458e-30	2.95687926600047e-27	"Col1a2"
"7820"	"ENSMUSG00000030302"	111.769821375382	3.22111551652241	0.284682264218414	11.3147741232348	1.10887526727478e-29	7.02041252547966e-27	"Atp2b2"
"21540"	"ENSMUSG00000073460"	101.790613329655	3.00298842296607	0.267279612484585	11.235381535654	2.73310581979086e-29	1.66856110298232e-26	"Pnldc1"
"2996"	"ENSMUSG00000021208"	324.657083277417	2.41272520843464	0.216437843245111	11.147427696839	7.37063565244965e-29	4.34460847734394e-26	"Ifi27l2b"
"16273"	"ENSMUSG00000055730"	4310.69530525173	-1.97789357166245	0.177907454554363	-11.1175418512779	1.03072812507127e-28	5.87308885665609e-26	"Ces2a"
"5873"	"ENSMUSG00000026890"	199.895713707567	2.30187249735713	0.209047102257468	11.0112624021072	3.37244754175873e-28	1.85963284770399e-25	"Lhx6"
"16078"	"ENSMUSG00000054827"	13037.0471280994	-1.80162252950033	0.164488497293199	-10.9528785243198	6.43689449875885e-28	3.43850858005574e-25	"Cyp2c50"
"17444"	"ENSMUSG00000060317"	944.115603028323	1.73003520743739	0.159375203851493	10.8551089857708	1.88581700292505e-27	9.48388480830833e-25	"Acnat2"
"3072"	"ENSMUSG00000021336"	1488.47075847574	1.64098582583875	0.151172107608176	10.8550833338385	1.8863465747191e-27	9.48388480830833e-25	"Slc17a4"
"2635"	"ENSMUSG00000020604"	651.100964844005	1.52523182370488	0.140547382212067	10.8520827616946	1.94932048211756e-27	9.52048123466216e-25	"Arsg"
"7585"	"ENSMUSG00000029816"	53.7047408252096	3.58363241611525	0.331207558680412	10.819899251071	2.77081796576482e-27	1.315676730744e-24	"Gpnmb"
"12370"	"ENSMUSG00000041577"	856.977399958834	1.36234841650366	0.126536215917501	10.7664703470498	4.956398186655e-27	2.28985596223461e-24	"Prelp"
"3667"	"ENSMUSG00000022371"	1414.69602168656	1.62727717182564	0.151254613213697	10.758529192935	5.40255292438664e-27	2.43029578130172e-24	"Col14a1"
"4856"	"ENSMUSG00000025002"	280.297446450039	-2.23414994513181	0.208748331875022	-10.7026002318879	9.89615438368948e-27	4.33756059063559e-24	"Cyp2c55"
"268"	"ENSMUSG00000001506"	196.729373536273	2.88161154978576	0.27160352039857	10.6096251829029	2.68825295306675e-26	1.14882489949308e-23	"Col1a1"
"519"	"ENSMUSG00000002992"	4870.90488391314	1.23719965691779	0.116990574561614	10.5752079734099	3.88315000787724e-26	1.6189894203574e-23	"Apoc2"
"5909"	"ENSMUSG00000026956"	244.431238639767	2.16109089324321	0.204580766419946	10.5635096155965	4.39900622848122e-26	1.79039553499186e-23	"Uap1l1"
"9096"	"ENSMUSG00000032548"	1013.47560864554	-1.59775290159493	0.152905033510959	-10.4493152704513	1.47586905183292e-25	5.86709431907721e-23	"Slco2a1"
"9667"	"ENSMUSG00000034220"	431.80258325105	2.2448440222725	0.215063194310057	10.4380669573619	1.66159677833268e-25	6.45530348382247e-23	"Gpc1"
"12397"	"ENSMUSG00000041653"	97.1218929112337	3.24798205373307	0.311644829042437	10.4220630379553	1.96640771474113e-25	7.46972743906331e-23	"Pnpla3"
"492"	"ENSMUSG00000002831"	567.05839625014	2.54405557014197	0.246398881603395	10.3249477172421	5.43484055979032e-25	2.01963401150121e-22	"Plin4"
"9451"	"ENSMUSG00000033581"	66.838506046267	2.80154743908983	0.273990673805103	10.2249737196626	1.53269522510443e-24	5.57444514424151e-22	"Igf2bp2"
"17103"	"ENSMUSG00000059060"	53.8950912627878	3.14585237700403	0.310632027937235	10.1272634309289	4.18189361116466e-24	1.48927686227601e-21	"Rad51l1"
"8110"	"ENSMUSG00000030827"	81.0561056021998	2.72679117635809	0.27040454150594	10.0841175269173	6.49461254337971e-24	2.26569197584761e-21	"Fgf21"
"7796"	"ENSMUSG00000030257"	95.8149130558964	-2.52535982214936	0.250501664027486	-10.081209767422	6.68973280245672e-24	2.2870858505039e-21	"Srgap3"
"2532"	"ENSMUSG00000020427"	446.114818839837	1.80948374380357	0.181229609736621	9.98448182078674	1.78229867368331e-23	5.97384578979266e-21	"Igfbp3"
"21151"	"ENSMUSG00000072115"	2643.72186056462	-1.57809010651099	0.158332453391464	-9.96694027477295	2.12679905060167e-23	6.99144287903558e-21	"Ang"
"529"	"ENSMUSG00000003053"	33916.1789956889	-2.11667503791358	0.213778958406015	-9.90123187845989	4.11178671218781e-23	1.32616758600261e-20	"Cyp2c29"
"1406"	"ENSMUSG00000012123"	57.1801778858593	2.8964931450895	0.292613368174344	9.89870409257486	4.21703817088241e-23	1.33492686098266e-20	"Aim1l"
"6873"	"ENSMUSG00000028655"	1799.22455513953	2.09510295476622	0.212461986544336	9.86107203854565	6.13903857439554e-23	1.90801318892213e-20	"Mfsd2a"
"15310"	"ENSMUSG00000051579"	525.98057046391	2.59440018504191	0.265272052885062	9.78014893323883	1.37008787720839e-22	4.1821932451786e-20	"Tceal8"
"16073"	"ENSMUSG00000054793"	103.611637365016	-2.43694847014724	0.250697572657857	-9.72067038508227	2.46155474228052e-22	7.38207311658652e-20	"Cadm4"
