"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0002376",1.67642696594899e-21,1,497,1704,"immune system process","BP"
"GO:0044822",3.73214308684861e-19,1,347,1094,"poly(A) RNA binding","MF"
"GO:0003723",2.12801972072624e-16,1,423,1447,"RNA binding","MF"
"GO:0046649",2.65864173037471e-15,1,176,514,"lymphocyte activation","BP"
"GO:0002682",5.18901548494325e-15,1,287,939,"regulation of immune system process","BP"
"GO:0001775",3.93972230130131e-14,1,219,696,"cell activation","BP"
"GO:0042254",1.21387893562524e-13,1,98,221,"ribosome biogenesis","BP"
"GO:0045321",3.06295720607463e-13,1,193,604,"leukocyte activation","BP"
"GO:0006955",1.10444278850635e-12,1,253,844,"immune response","BP"
"GO:0048534",2.68879118094247e-12,1,218,711,"hematopoietic or lymphoid organ development","BP"
"GO:0030097",5.39144211082927e-12,1,208,674,"hemopoiesis","BP"
"GO:0002520",1.41011990888527e-11,1,224,749,"immune system development","BP"
"GO:0051249",2.35710097806604e-11,1,110,306,"regulation of lymphocyte activation","BP"
"GO:0046651",3.78285043855981e-11,1,85,215,"lymphocyte proliferation","BP"
"GO:0002684",5.347137053113e-11,1,181,590,"positive regulation of immune system process","BP"
"GO:0032943",6.27580288802556e-11,1,85,217,"mononuclear cell proliferation","BP"
"GO:1901566",1.4279354084196e-10,1,286,979,"organonitrogen compound biosynthetic process","BP"
"GO:1901564",1.58782613108202e-10,1,408,1501,"organonitrogen compound metabolic process","BP"
"GO:0005488",1.62723687480404e-10,1,2067,9686,"binding","MF"
"GO:0070661",1.76895318910703e-10,1,86,224,"leukocyte proliferation","BP"
"GO:0042113",2.35010747666812e-10,0.999999999936764,75,191,"B cell activation","BP"
"GO:0002252",2.36481773793359e-10,1,171,548,"immune effector process","BP"
"GO:0006364",2.98313826285571e-10,0.999999999925764,66,145,"rRNA processing","BP"
"GO:0048583",3.47736506111575e-10,1,625,2608,"regulation of response to stimulus","BP"
"GO:0050896",3.49237284556395e-10,1,1213,5448,"response to stimulus","BP"
"GO:0034109",4.45033304673477e-10,1,135,417,"homotypic cell-cell adhesion","BP"
"GO:0030099",4.89724187582673e-10,1,108,303,"myeloid cell differentiation","BP"
"GO:1901363",5.22463362299864e-10,1,1027,4490,"heterocyclic compound binding","MF"
"GO:0043207",7.55979563272039e-10,1,175,566,"response to external biotic stimulus","BP"
"GO:0051707",7.55979563272039e-10,1,175,566,"response to other organism","BP"
"GO:0022613",8.01957463971106e-10,1,120,335,"ribonucleoprotein complex biogenesis","BP"
"GO:0070486",8.25101286405599e-10,1,120,360,"leukocyte aggregation","BP"
"GO:0097159",1.09102204447376e-09,1,1035,4543,"organic cyclic compound binding","MF"
"GO:0002694",1.17257614161108e-09,1,119,358,"regulation of leukocyte activation","BP"
"GO:0009605",1.23258384270495e-09,1,377,1458,"response to external stimulus","BP"
"GO:0050776",1.23446722605093e-09,1,141,448,"regulation of immune response","BP"
"GO:0016072",1.48118493324068e-09,0.999999999500703,66,150,"rRNA metabolic process","BP"
"GO:0050865",1.50315586775421e-09,1,126,387,"regulation of cell activation","BP"
"GO:0006952",1.50655268394908e-09,1,264,942,"defense response","BP"
"GO:0007159",2.05709766284257e-09,1,124,381,"leukocyte cell-cell adhesion","BP"
"GO:0008219",2.32019374054334e-09,1,398,1565,"cell death","BP"
"GO:0016265",2.49547139060083e-09,1,399,1570,"death","BP"
"GO:0005515",2.99678933131941e-09,1,1420,6477,"protein binding","MF"
"GO:0050670",3.75004743199068e-09,0.999999998650403,66,164,"regulation of lymphocyte proliferation","BP"
"GO:0071593",3.83498879717161e-09,1,116,355,"lymphocyte aggregation","BP"
"GO:0042221",5.61002500133352e-09,1,561,2355,"response to chemical","BP"
"GO:0009607",5.95703466291787e-09,1,177,590,"response to biotic stimulus","BP"
"GO:0032944",6.38780678545354e-09,0.999999997659231,66,166,"regulation of mononuclear cell proliferation","BP"
"GO:0042110",6.45834070690248e-09,1,115,354,"T cell activation","BP"
"GO:0070489",6.45834070690248e-09,1,115,354,"T cell aggregation","BP"
"GO:0070663",6.79316128131486e-09,0.999999997485628,67,169,"regulation of leukocyte proliferation","BP"
"GO:0010941",7.01750837393483e-09,1,324,1246,"regulation of cell death","BP"
"GO:0009617",9.88537862272421e-09,1,108,320,"response to bacterium","BP"
"GO:0050789",1.0079464953295e-08,1,1624,7578,"regulation of biological process","BP"
"03008",1.02630393160937e-08,0.999999997578674,37,72,"Ribosome biogenesis in eukaryotes","KEGG"
"GO:1901700",1.31237730277022e-08,1,242,903,"response to oxygen-containing compound","BP"
"GO:0034110",1.37023409999584e-08,1,82,231,"regulation of homotypic cell-cell adhesion","BP"
"GO:0050863",1.37237610426923e-08,1,77,212,"regulation of T cell activation","BP"
"GO:1903037",1.94007724159263e-08,1,79,220,"regulation of leukocyte cell-cell adhesion","BP"
"GO:0006950",2.04872494221875e-08,1,603,2532,"response to stress","BP"
"GO:0012501",2.12319685158329e-08,1,370,1464,"programmed cell death","BP"
"GO:0002443",2.3561715555191e-08,1,83,237,"leukocyte mediated immunity","BP"
"GO:0048518",2.41249576657518e-08,1,935,4185,"positive regulation of biological process","BP"
"GO:0044085",2.64226365517963e-08,1,515,2088,"cellular component biogenesis","BP"
"05322",2.98554600273286e-08,0.999999990489281,55,103,"Systemic lupus erythematosus","KEGG"
"GO:0043603",3.56136657301187e-08,1,216,735,"cellular amide metabolic process","BP"
"GO:0009987",3.73612626699127e-08,1,2285,10910,"cellular process","BP"
"GO:0002521",3.98785078975187e-08,1,124,403,"leukocyte differentiation","BP"
"GO:0065007",5.21575299967681e-08,1,1684,7924,"biological regulation","BP"
"GO:0043067",5.56230135961036e-08,1,299,1156,"regulation of programmed cell death","BP"
"GO:0006959",5.99094660535829e-08,0.999999982644084,42,88,"humoral immune response","BP"
"GO:0016337",6.42743748187496e-08,1,164,575,"single organismal cell-cell adhesion","BP"
"GO:0042098",6.72917042377766e-08,0.999999974449612,60,153,"T cell proliferation","BP"
"GO:0001816",7.69796379127868e-08,1,144,487,"cytokine production","BP"
"GO:0070887",8.61566605743738e-08,1,400,1646,"cellular response to chemical stimulus","BP"
"GO:0065008",1.00313233383711e-07,1,583,2519,"regulation of biological quality","BP"
"GO:0006915",1.03473012931728e-07,1,360,1440,"apoptotic process","BP"
"GO:0042742",1.10022330567279e-07,0.999999959456329,56,136,"defense response to bacterium","BP"
"GO:1903706",1.12412770627361e-07,1,96,285,"regulation of hemopoiesis","BP"
"GO:0042129",1.1476055419596e-07,0.999999960249151,50,121,"regulation of T cell proliferation","BP"
"GO:0003676",1.18773284930147e-07,1,693,2950,"nucleic acid binding","MF"
"GO:0050794",1.36251041761925e-07,1,1538,7209,"regulation of cellular process","BP"
"GO:0042981",1.42283514246776e-07,1,293,1141,"regulation of apoptotic process","BP"
