entrez_id,control_FFa1.bam,control_FFa2.bam,control_FFa3.bam,mutant_KOa1.bam,mutant_KOa2.bam,mutant_KOa3.bam,mutant_KOb1.bam,mutant_KOb2.bam,mutant_KOb3.bam
497097,16,16,0,21,16,27,20,0,2
100503874,20,0,0,64,0,4,5,0,2
100038431,0,0,2,0,0,8,0,0,0
19888,11,0,10,113,0,26,14,6,16
20671,14,16,0,40,8,33,33,12,24
27395,465,193,596,436,686,572,1378,1901,1553
18777,93,87,109,188,119,98,228,200,134
100503730,0,0,0,2,9,1,3,0,2
21399,4757,2082,6777,1472,3473,2068,6472,8152,6600
58175,88,35,39,266,68,119,107,55,45
108664,168,20,295,90,104,141,282,427,328
18387,1,0,15,14,7,0,0,14,0
226304,0,2,12,38,8,9,40,45,18
12421,4561,1153,5545,3449,4175,3643,5406,6471,4926
240690,16,11,0,62,4,23,24,8,0
100504079,3,0,0,0,7,0,0,1,8
319263,666,287,524,340,400,299,610,669,484
71096,6,0,0,44,0,8,17,18,11
59014,131,101,149,156,184,68,295,548,474
76187,32,0,37,39,38,12,73,91,3
72481,0,0,0,7,0,9,32,5,0
76982,12,0,0,38,13,3,10,0,5
17864,103,72,57,80,67,69,118,91,70
70675,2949,1296,4345,2424,2926,2430,4027,4896,3432
170755,2387,735,3265,388,691,613,832,1343,861
620986,2,0,0,0,0,0,0,0,0
240697,643,120,483,1763,223,484,966,665,415
73824,37,41,54,55,53,66,179,260,137
266793,4,0,0,8,0,0,0,2,0
100038398,15,0,4,26,5,16,31,6,0
69312,12,3,13,56,3,15,33,27,3
26754,823,757,1288,706,1202,1256,2641,2696,2322
211660,615,318,570,382,538,394,721,942,581
211673,2174,1684,2697,1368,2308,2265,4812,5210,3915
329093,46,7,17,29,0,0,32,58,22
109294,407,345,552,735,769,1024,1215,1437,1155
320492,42,16,23,96,22,64,76,50,40
240725,22,0,0,28,3,20,11,36,0
240726,24,21,18,130,2,55,43,23,19
383491,11,0,12,10,18,8,0,6,11
17978,1440,852,1624,863,944,923,2063,2747,1546
72265,3594,1461,4349,2034,3972,3635,7073,8061,6400
212442,73,29,160,530,584,612,1095,1146,902
381246,0,0,10,38,47,66,106,155,95
433273,12,31,20,69,11,56,40,38,21
