"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0044281",2.76800408465198e-27,1,318,1449,"small molecule metabolic process","BP"
"GO:0006082",2.24652446504943e-26,1,207,798,"organic acid metabolic process","BP"
"GO:0043436",3.30654583386653e-25,1,202,786,"oxoacid metabolic process","BP"
"GO:0019752",8.35632655430678e-24,1,190,739,"carboxylic acid metabolic process","BP"
"GO:0032787",4.06348755070388e-23,1,140,480,"monocarboxylic acid metabolic process","BP"
"GO:0006629",1.82188223424484e-19,1,213,940,"lipid metabolic process","BP"
"GO:0007155",5.78237287290689e-19,1,218,973,"cell adhesion","BP"
"GO:0022610",7.592847046425e-19,1,219,981,"biological adhesion","BP"
"GO:0001525",1.48519184187402e-17,1,103,349,"angiogenesis","BP"
"GO:0006631",3.29178740102869e-17,1,94,310,"fatty acid metabolic process","BP"
"00982",9.98401067933165e-17,1,40,79,"Drug metabolism - cytochrome P450","KEGG"
"GO:0030198",2.09126845857909e-16,1,62,164,"extracellular matrix organization","BP"
"GO:0042221",2.1398463851989e-16,1,406,2271,"response to chemical","BP"
"GO:0048514",2.20015232127481e-16,1,114,419,"blood vessel morphogenesis","BP"
"GO:0004497",2.64632150709812e-16,1,46,101,"monooxygenase activity","MF"
"GO:0043062",2.94309361676182e-16,1,62,165,"extracellular structure organization","BP"
"01100",2.43034328123167e-15,1,207,1001,"Metabolic pathways","KEGG"
"GO:0008395",2.75889754085981e-15,1,32,56,"steroid hydroxylase activity","MF"
"00980",2.84429116333862e-15,1,36,71,"Metabolism of xenobiotics by cytochrome P450","KEGG"
"GO:0044699",5.46105059865836e-15,1,1262,8998,"single-organism process","BP"
"GO:0016491",7.98244257080097e-15,1,146,639,"oxidoreductase activity","MF"
"GO:0001568",4.05183101308328e-14,1,123,498,"blood vessel development","BP"
"GO:0001944",8.04924879894702e-14,1,126,520,"vasculature development","BP"
"GO:0030334",1.800309635655e-13,1,131,557,"regulation of cell migration","BP"
"GO:2000145",3.23929757830526e-13,1,135,585,"regulation of cell motility","BP"
"GO:0016477",3.9410595603719e-13,1,186,895,"cell migration","BP"
"GO:0005539",6.41202010090657e-13,1,48,130,"glycosaminoglycan binding","MF"
"GO:0044255",8.73410373982261e-13,1,156,721,"cellular lipid metabolic process","BP"
"GO:0050896",1.05466460652686e-12,1,769,5095,"response to stimulus","BP"
"GO:0005102",1.46577984311462e-12,1,202,1018,"receptor binding","MF"
"GO:0044283",2.13227948472842e-12,1,97,383,"small molecule biosynthetic process","BP"
"GO:0040011",2.29447929407004e-12,1,216,1106,"locomotion","BP"
"GO:0051270",2.6252477296961e-12,1,140,631,"regulation of cellular component movement","BP"
"04512",2.89334065726434e-12,1,32,67,"ECM-receptor interaction","KEGG"
"GO:0055114",2.92157970028095e-12,1,158,760,"oxidation-reduction process","BP"
