"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0044281"	1.24841994956826e-27	1	321	1466	"small molecule metabolic process"	"BP"
"GO:0006082"	4.77843464663948e-27	1	209	803	"organic acid metabolic process"	"BP"
"GO:0043436"	1.34208349415693e-25	1	203	789	"oxoacid metabolic process"	"BP"
"GO:0019752"	1.22281902921051e-24	1	191	736	"carboxylic acid metabolic process"	"BP"
"GO:0032787"	1.50076003057439e-23	1	140	477	"monocarboxylic acid metabolic process"	"BP"
"GO:0007155"	2.29534751600827e-20	1	220	964	"cell adhesion"	"BP"
"GO:0022610"	3.52197733199532e-20	1	221	973	"biological adhesion"	"BP"
"GO:0006629"	1.38679908417119e-19	1	210	923	"lipid metabolic process"	"BP"
"GO:0042221"	4.50622975969443e-19	1	402	2174	"response to chemical"	"BP"
"GO:0044699"	1.42158572819098e-17	1	1268	8973	"single-organism process"	"BP"
"GO:0006631"	2.08381517105194e-17	1	94	309	"fatty acid metabolic process"	"BP"
"GO:0001525"	2.1475377595766e-17	1	100	337	"angiogenesis"	"BP"
"00982"	8.44649958497489e-17	1	40	79	"Drug metabolism - cytochrome P450"	"KEGG"
"GO:0004497"	1.10993307136601e-16	1	48	107	"monooxygenase activity"	"MF"
"GO:0048514"	4.04363835232611e-16	1	111	408	"blood vessel morphogenesis"	"BP"
"GO:0008395"	5.38350087010719e-16	1	33	57	"steroid hydroxylase activity"	"MF"
"00980"	2.43520522110816e-15	1	36	71	"Metabolism of xenobiotics by cytochrome P450"	"KEGG"
"GO:0030198"	2.48196163654377e-15	1	59	159	"extracellular matrix organization"	"BP"
"01100"	2.59309482670468e-15	1	207	1006	"Metabolic pathways"	"KEGG"
"GO:0016491"	3.03846712832377e-15	1	146	635	"oxidoreductase activity"	"MF"
"GO:0043062"	3.45575588915164e-15	1	59	160	"extracellular structure organization"	"BP"
"GO:0055114"	3.61440579147879e-15	1	169	774	"oxidation-reduction process"	"BP"
"GO:0050896"	1.75342400864553e-14	1	775	5079	"response to stimulus"	"BP"
"GO:0070887"	2.07436724760917e-14	1	289	1540	"cellular response to chemical stimulus"	"BP"
"GO:0044711"	3.41565709146866e-14	1	211	1047	"single-organism biosynthetic process"	"BP"
"GO:0001568"	5.91672629328714e-14	1	117	469	"blood vessel development"	"BP"
"GO:0005539"	1.92904950148158e-13	1	48	127	"glycosaminoglycan binding"	"MF"
"GO:0001944"	2.08557896485626e-13	1	119	489	"vasculature development"	"BP"
"GO:0044710"	2.61294217599467e-13	1	582	3686	"single-organism metabolic process"	"BP"
"GO:0051239"	2.99008089548761e-13	1	323	1800	"regulation of multicellular organismal process"	"BP"
"GO:0051240"	3.16241175190642e-13	1	210	1048	"positive regulation of multicellular organismal process"	"BP"
"GO:0044763"	4.81332166019675e-13	1	1136	8049	"single-organism cellular process"	"BP"
"GO:0044255"	6.13024841716571e-13	1	153	702	"cellular lipid metabolic process"	"BP"
"GO:0040011"	1.41570352176096e-12	1	209	1060	"locomotion"	"BP"
"GO:0016477"	2.0456283029628e-12	1	177	858	"cell migration"	"BP"
"GO:0044707"	2.37889324514184e-12	1	611	3913	"single-multicellular organism process"	"BP"
"GO:0044283"	2.54206621187703e-12	1	96	380	"small molecule biosynthetic process"	"BP"
"GO:0005509"	2.69961906629942e-12	1	91	354	"calcium ion binding"	"MF"
"GO:0016712"	3.44122729472014e-12	1	26	47	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"MF"
"04512"	4.38055989144142e-12	1	32	68	"ECM-receptor interaction"	"KEGG"
"GO:0051094"	5.40732249960661e-12	1	178	872	"positive regulation of developmental process"	"BP"
"00830"	6.22604455069379e-12	1	32	69	"Retinol metabolism"	"KEGG"
"GO:0005102"	6.65210021943679e-12	1	196	1000	"receptor binding"	"MF"
"GO:0009611"	7.51740909265051e-12	1	110	468	"response to wounding"	"BP"
"GO:0050878"	7.96925127311017e-12	1	68	234	"regulation of body fluid levels"	"BP"
"GO:1901681"	9.07140266663915e-12	1	55	173	"sulfur compound binding"	"MF"
"GO:0010033"	9.3882864101657e-12	1	285	1587	"response to organic substance"	"BP"
"GO:0006935"	1.07931233418795e-11	1	85	329	"chemotaxis"	"BP"
"GO:0042330"	1.28488132931019e-11	1	85	330	"taxis"	"BP"
"GO:0072358"	1.28626000700532e-11	1	155	735	"cardiovascular system development"	"BP"
"GO:0072359"	1.28626000700532e-11	1	155	735	"circulatory system development"	"BP"
"GO:0020037"	1.42221088723925e-11	1	41	109	"heme binding"	"MF"
"GO:0048870"	1.58831895283309e-11	1	182	912	"cell motility"	"BP"
"GO:0051674"	1.58831895283309e-11	1	182	912	"localization of cell"	"BP"
"GO:0008201"	1.59533011644077e-11	1	38	97	"heparin binding"	"MF"
"GO:0030334"	1.75470619237438e-11	1	117	512	"regulation of cell migration"	"BP"
"GO:0032501"	2.02174168540694e-11	1	618	4011	"multicellular organismal process"	"BP"
"GO:2000145"	2.23917076084428e-11	1	121	538	"regulation of cell motility"	"BP"
"GO:0042060"	2.28037395686885e-11	1	73	265	"wound healing"	"BP"
"GO:0009888"	2.77571316147015e-11	1	224	1184	"tissue development"	"BP"
"GO:0046906"	3.43982196397623e-11	1	42	116	"tetrapyrrole binding"	"MF"
"GO:0050793"	3.95076404586286e-11	1	282	1585	"regulation of developmental process"	"BP"
"00591"	4.05838121911535e-11	1	19	29	"Linoleic acid metabolism"	"KEGG"
"GO:2000026"	5.62749847885682e-11	1	225	1204	"regulation of multicellular organismal development"	"BP"
"GO:0019373"	1.13852684497072e-10	0.999999999992677	18	27	"epoxygenase P450 pathway"	"BP"
"GO:0008202"	1.49042696009961e-10	1	61	214	"steroid metabolic process"	"BP"
"GO:0051270"	1.92854476156179e-10	1	127	592	"regulation of cellular component movement"	"BP"
"GO:0048731"	2.19599327891971e-10	1	446	2775	"system development"	"BP"
"GO:0004866"	2.38303137241593e-10	0.999999999953323	39	110	"endopeptidase inhibitor activity"	"MF"
"GO:0004872"	2.53735308862046e-10	1	128	595	"receptor activity"	"MF"
"GO:0009653"	2.58088463268594e-10	1	310	1799	"anatomical structure morphogenesis"	"BP"
"GO:0048856"	2.73315971856751e-10	1	524	3357	"anatomical structure development"	"BP"
"GO:0040012"	2.7755214801678e-10	1	125	584	"regulation of locomotion"	"BP"
"GO:0030155"	2.97664510139737e-10	1	108	481	"regulation of cell adhesion"	"BP"
"GO:0048646"	3.09752642426854e-10	1	169	855	"anatomical structure formation involved in morphogenesis"	"BP"
"GO:0009719"	3.11384812990181e-10	1	168	848	"response to endogenous stimulus"	"BP"
"GO:0007275"	3.46276796652509e-10	1	495	3145	"multicellular organismal development"	"BP"
"GO:0004888"	3.88195248493555e-10	1	95	402	"transmembrane signaling receptor activity"	"MF"
"GO:0007167"	4.28851551634466e-10	1	128	599	"enzyme linked receptor protein signaling pathway"	"BP"
"GO:1901564"	4.36599383160371e-10	1	245	1412	"organonitrogen compound metabolic process"	"BP"
"GO:0065008"	5.01527043374971e-10	1	366	2223	"regulation of biological quality"	"BP"
"GO:0016705"	5.02206202781783e-10	0.999999999852974	52	171	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"MF"
"GO:0001676"	5.64194736701076e-10	0.99999999990379	32	79	"long-chain fatty acid metabolic process"	"BP"
"GO:0032502"	6.59438290287246e-10	1	576	3768	"developmental process"	"BP"
"GO:0030414"	7.68323785725177e-10	0.99999999981377	39	114	"peptidase inhibitor activity"	"MF"
"GO:0010466"	7.9095275336506e-10	0.999999999773254	49	161	"negative regulation of peptidase activity"	"BP"
"GO:0044767"	8.29121438980177e-10	1	571	3736	"single-organism developmental process"	"BP"
"GO:0017144"	8.30999580417119e-10	0.999999999875144	25	53	"drug metabolic process"	"BP"
"GO:0045765"	8.71362181307885e-10	0.999999999746393	50	165	"regulation of angiogenesis"	"BP"
"GO:0019838"	8.84611856673288e-10	0.999999999785268	39	112	"growth factor binding"	"MF"
"GO:0061135"	1.05435633267762e-09	0.999999999741079	39	115	"endopeptidase regulator activity"	"MF"
"GO:0045597"	1.08024655228829e-09	1	134	649	"positive regulation of cell differentiation"	"BP"
"GO:0038023"	1.38270388530633e-09	1	106	477	"signaling receptor activity"	"MF"
"GO:0071310"	1.56585635651032e-09	1	215	1181	"cellular response to organic substance"	"BP"
"GO:0031589"	1.68646887560128e-09	1	63	234	"cell-substrate adhesion"	"BP"
"GO:0006928"	1.84387886838402e-09	1	208	1139	"movement of cell or subcellular component"	"BP"
"GO:0032879"	1.85502800879724e-09	1	291	1714	"regulation of localization"	"BP"
"GO:0006805"	1.98687381313801e-09	0.999999999607358	30	75	"xenobiotic metabolic process"	"BP"
"GO:1901615"	2.12912799233796e-09	1	82	344	"organic hydroxy compound metabolic process"	"BP"
"GO:0022603"	2.39844140014397e-09	1	141	700	"regulation of anatomical structure morphogenesis"	"BP"
"GO:1901342"	2.82001881295325e-09	0.999999999080795	52	180	"regulation of vasculature development"	"BP"
"GO:0048513"	2.90471920879046e-09	1	333	2011	"organ development"	"BP"
"GO:0009605"	2.97047756229186e-09	1	238	1363	"response to external stimulus"	"BP"
"GO:0007166"	3.42460216514088e-09	1	264	1525	"cell surface receptor signaling pathway"	"BP"
"GO:0010562"	3.77518715337327e-09	1	144	726	"positive regulation of phosphorus metabolic process"	"BP"
"GO:0045937"	3.77518715337327e-09	1	144	726	"positive regulation of phosphate metabolic process"	"BP"
"GO:0030154"	4.70079841817847e-09	1	393	2454	"cell differentiation"	"BP"
"GO:0043168"	4.95378088566495e-09	1	346	2103	"anion binding"	"MF"
"GO:0061134"	6.7887996715685e-09	0.999999997957493	43	142	"peptidase regulator activity"	"MF"
"GO:0004867"	6.83199515224159e-09	0.999999998668535	27	67	"serine-type endopeptidase inhibitor activity"	"MF"
"GO:0071466"	8.57719936917863e-09	0.999999998113092	30	79	"cellular response to xenobiotic stimulus"	"BP"
"GO:0006690"	1.00634756363984e-08	0.999999997761749	30	80	"icosanoid metabolic process"	"BP"
"GO:1901568"	1.00634756363984e-08	0.999999997761749	30	80	"fatty acid derivative metabolic process"	"BP"
"GO:0051346"	1.06413600271917e-08	1	67	273	"negative regulation of hydrolase activity"	"BP"
"GO:0007599"	1.17538220031883e-08	0.99999999622344	46	155	"hemostasis"	"BP"
"GO:0005518"	1.42576576353457e-08	0.99999999774322	22	48	"collagen binding"	"MF"
"GO:0008610"	1.44284546598276e-08	1	94	432	"lipid biosynthetic process"	"BP"
"GO:0045595"	1.46281487500169e-08	1	198	1099	"regulation of cell differentiation"	"BP"
"GO:0010951"	1.74296692983284e-08	0.999999994740741	41	134	"negative regulation of endopeptidase activity"	"BP"
"GO:0033559"	1.80689578418547e-08	0.999999995688348	31	86	"unsaturated fatty acid metabolic process"	"BP"
"GO:0042738"	2.09499577082037e-08	0.999999997023735	20	41	"exogenous drug catabolic process"	"BP"
"GO:0007596"	2.27394838232585e-08	0.999999992576488	45	153	"blood coagulation"	"BP"
